tweet_id,lang
1213330173736738817,en
1214195710301618178,en
1214198629553950721,en
1214917256414662656,en
1214936881563082752,en
1214978895914684418,en
1215028015438192640,en
1215081761249615872,en
1215110626411978753,en
1215112006363009024,en
1215114820749594626,en
1215211709142577152,en
1215221343479726081,en
1215279149377560576,en
1215359721953165319,en
1215366806120140809,en
1215381385533411333,en
1215402646447804416,en
1215625674376937473,en
1215697640266047488,en
1215729105934548993,en
1215767181788622852,en
1215803173149052928,en
1215835658020888576,en
1215891731666726919,en
1215908513064607745,en
1215986694907928576,en
1215996832515530752,en
1216022078064943104,en
1216110867273699329,en
1216128793737342976,en
1216310709086310400,en
1216385992652967939,en
1216504758569140225,en
1216678528550408195,en
1216766130783576064,en
1216767481383137280,en
1218172397058048000,en
1218188058576719873,en
1218196719797706754,en
1218237698156179456,en
1218237987571585024,en
1218248632736067587,en
1218258195736489984,en
1218258883602288640,en
1218262201280221191,en
1218262717204717568,en
1218263925151752192,en
1218264642356531200,en
1218265741268414464,en
1218274385754251266,en
1218278018025709568,en
1218278097709125632,en
1218285936850669569,en
1218292119246376960,en
1218316311987662849,en
1218326558672183297,en
1218358536071188482,en
1218392086287806466,en
1218502568470548481,en
1218528032069058560,en
1218576409179779078,en
1218591491922071552,en
1218593933007171585,en
1218675830982877184,en
1218700220856459265,en
1218707103717609472,en
1218750405674504192,en
1219123157694590976,en
1219130342541533185,en
1219131449812500480,en
1219150575834746881,en
1219151720875548672,en
1219152568150040577,en
1219156540130766848,en
1219164408653332480,en
1219166556141211650,en
1219169861261086720,en
1219182712608763904,en
1219192229463502848,en
1219227482613846017,en
1219237020456886279,en
1219247640430436353,en
1219251750844030984,en
1219273791903346688,en
1219275134109802496,en
1219278653101608960,en
1219282373453471745,en
1219284445431246850,en
1219285263349952514,en
1219290573317775360,en
1219294750844440576,en
1219300119578697728,en
1219302371915898882,en
1219303965721935872,en
1219304603289669637,en
1219304674597265409,en
1219308709517709312,en
1219309217015717888,en
1219311960086306816,en
1219312434059583490,en
1219322957547343873,en
1219330612156346368,en
1219332180805111808,en
1219332281476710402,en
1219334139561644032,en
1219335821469343746,en
1219341672552644608,en
1219343450904170497,en
1219343794845425672,en
1219345262860230657,en
1219345992660717569,en
1219349423593050113,en
1219351277483651072,en
1219351541724803072,en
1219351583655415810,en
1219354335131422727,en
1219355081721643010,en
1219365538134142979,en
1219366196610576389,en
1219366884484640768,en
1219369099077267457,en
1219369350752280578,en
1219371158484725760,en
1219374543275356160,en
1219380155279462401,en
1219380310447550465,en
1219381992363569152,en
1219382202095587328,en
1219387797305462785,en
1219387939907502081,en
1219392801114181633,en
1219394260732203008,en
1219396789872349185,en
1219403182016647168,en
1219404280924266496,en
1219406705223774208,en
1219407292405370881,en
1219411943896895488,en
1219416343709024256,en
1219419019683475462,en
1219425546016149504,en
1219427588650622976,en
1219427659957977088,en
1219430696638390272,en
1219433456477917184,en
1219433896871264256,en
1219434291160989696,en
1219440255465664512,en
1219442780440858625,en
1219447931029221376,en
1219454876792623105,en
1219458081245016064,en
1219459670886121472,en
1219465245112049664,en
1219465991685537795,en
1219471410738782208,en
1219471561725554690,en
1219472153138982912,en
1219478281004535808,en
1219481191868289025,en
1219484815747141632,en
1219485868508901376,en
1219486380218146816,en
1219486841595842560,en
1219487177131921408,en
1219488418666774528,en
1219488770954678272,en
1219489735673958400,en
1219495926450081792,en
1219498971531399168,en
1219499541931732992,en
1219499986523697154,en
1219508215769157633,en
1219514985354645504,in
1219515736151842816,en
1219517753595437057,en
1219528964995276801,en
1219530630138073088,en
1219531951335510021,en
1219533222201020416,en
1219535218698096641,en
1219540474161135616,en
1219543032665726978,en
1219544051877367808,en
1219544290969505792,en
1219549491919048705,en
1219550284633931776,en
1219551463216562178,en
1219553103189442562,en
1219553824613888000,en
1219554063718551552,en
1219557297514524672,en
1219558522255372289,en
1219559298210193409,en
1219575362377723905,en
1219577392412479488,en
1219579179173326848,en
1219579414066761728,en
1219579518932811776,en
1219580580070903808,en
1219580596847964160,en
1219736587224985601,en
1219744472520691718,en
1219745005184655360,en
1219745147816116224,en
1219745269446840320,en
1219746494162591746,en
1219746745845858304,en
1219747169453985793,en
1219750218733957121,en
1219754337502711809,en
1219754379474919424,en
1219755608406097920,en
1219758213073195009,en
1219758301157765123,en
1219758355649978368,en
1219759165155020801,en
1219759609746882564,en
1219759827875840001,en
1219760373143932930,en
1219762268965130242,en
1219762478655033344,en
1219764257031622661,en
1219764529686548481,en
1219765456615153668,en
1219766991751450625,en
1219767687997468673,en
1219767855757000708,en
1219768531048370176,en
1219768593950420993,en
1219769160198127616,en
1219771366393753605,en
1219771412518326272,en
1219771659986468864,en
1219772020709302272,en
1219772112996655109,in
1219772503066841088,en
1219773178337210369,en
1219773371266801665,en
1219773383841157120,en
1219776009504985088,en
1219778412820279297,en
1219778811287367681,en
1219778987427160064,en
1219779000014397441,en
1219779364914528257,en
1219780413519872005,en
1219781294298750976,en
1219781835363741696,en
1219783517300822017,en
1219784226112864256,en
1219787086632574976,en
1219788068095311872,en
1219790832141664266,en
1219791897503457281,en
1219794326022238210,en
1219794405709709312,en
1219794552527212549,en
1219796511233658880,en
1219797350123741185,en
1219798742598995969,in
1219800877516709888,en
1219802169383063552,en
1219802345518829568,en
1219802890786758659,en
1219803192768311296,en
1219805302528212993,en
1219805843576840192,en
1219806430766751745,en
1219807328364630016,en
1219809501009862666,en
1219810172102561792,en
1219810222409121794,en
1219810797028806656,en
1219810868361355264,en
1219811128382877696,en
1219812990670667777,en
1219812990674964480,en
1219813049407696896,en
1219813493966286849,en
1219813644998864896,en
1219813691102760961,en
1219813766596112385,en
1219814995552350208,en
1219815276574920704,en
1219815595312443392,en
1219815943439704064,en
1219816899778883584,en
1219817767987306497,en
1219818787190370310,en
1219819294701342721,en
1219823296079978496,en
1219823648409903105,en
1219823711324270593,en
1219823900055363585,en
1219826102052573184,en
1219826294990393344,en
1219826794104336384,en
1219826819290914819,en
